1000 1500
127 736 80892 
723 749 94503 
692 583 28689 
654 715 56533 
225 224 98086 
483 79 84614 
942 117 84709 
238 644 93239 
572 966 70203 
432 228 33886 
784 908 69510 
85 147 59946 
349 743 85714 
962 882 38451 
468 738 75772 
505 824 90416 
622 776 85568 
493 548 95859 
423 720 68787 
92 883 57521 
644 890 67840 
166 730 61184 
927 751 78498 
438 576 75231 
164 183 86338 
996 852 42054 
135 553 64788 
253 735 99241 
872 527 57531 
733 138 42613 
917 646 82183 
40 487 37842 
69 70 72493 
638 840 74502 
132 995 91583 
323 368 43993 
532 139 93885 
760 409 65653 
297 687 49007 
434 39 53810 
143 380 36490 
25 405 39814 
183 770 65426 
806 425 94033 
990 64 32001 
983 613 94289 
249 402 48522 
90 174 55634 
313 441 31425 
805 785 27556 
474 458 42595 
529 628 42853 
407 666 41988 
913 761 47178 
270 666 55168 
356 150 74974 
575 867 90361 
485 204 81332 
709 170 49695 
207 876 86938 
281 932 45731 
925 895 40662 
969 234 50743 
935 673 79743 
280 241 62626 
593 586 63554 
316 811 73789 
81 635 97596 
443 437 35804 
194 712 93746 
474 199 53074 
105 705 68332 
971 782 66036 
866 485 37745 
849 973 97928 
560 414 69313 
284 250 52555 
89 790 53162 
564 444 92354 
36 499 72859 
479 786 59595 
93 459 45997 
794 241 28239 
443 822 29133 
976 276 49927 
500 87 38355 
571 290 48899 
528 801 27821 
536 191 66967 
485 618 67411 
685 517 46406 
273 491 59121 
655 466 86175 
535 761 49705 
454 752 90083 
358 867 71380 
827 653 59496 
4 245 58295 
530 627 30232 
583 680 56367 
490 51 73510 
199 119 79926 
538 722 57875 
487 239 70768 
214 878 41036 
719 500 25693 
995 437 45527 
118 73 58308 
754 2 59116 
518 907 63463 
594 417 82693 
12 522 99093 
381 871 32042 
240 915 44528 
458 260 61683 
444 816 97371 
923 629 35429 
466 382 80570 
499 221 75831 
327 330 91722 
615 988 89857 
658 231 76308 
541 534 68854 
129 989 74885 
280 877 78493 
717 637 27988 
161 355 28762 
186 301 99943 
742 883 69080 
881 543 34237 
883 190 43582 
773 333 79651 
36 552 74164 
53 273 74128 
325 381 76226 
557 417 61199 
726 665 90419 
281 599 57573 
473 690 61332 
439 827 25851 
639 541 96372 
820 196 39029 
270 127 70283 
210 334 45287 
84 656 30837 
1 496 38109 
454 242 82132 
707 803 42143 
605 223 85121 
139 433 38757 
466 53 90059 
336 632 94860 
546 811 33120 
193 489 77583 
342 611 28322 
756 609 93398 
903 919 53006 
109 956 91814 
619 618 32844 
476 838 63201 
622 93 90156 
934 182 51271 
553 38 39662 
789 218 79265 
316 155 54765 
5 719 99418 
314 469 40090 
824 45 98356 
660 475 30809 
29 326 70975 
146 743 90747 
629 949 93948 
388 727 77554 
288 220 73849 
751 800 29954 
311 47 84387 
362 220 47757 
650 26 29132 
135 365 63205 
746 626 43307 
409 30 31443 
999 267 63024 
239 424 81039 
577 412 25690 
602 928 83104 
551 134 62428 
912 394 85083 
13 260 88835 
978 284 50688 
675 752 93445 
105 971 98058 
135 521 55482 
194 162 67480 
128 267 94397 
503 532 42107 
241 564 89243 
940 547 90410 
60 456 33318 
862 2 64423 
840 548 51613 
304 633 69053 
430 271 73048 
543 659 51997 
37 895 45264 
165 371 79643 
832 542 88723 
